Fold,Accuracy,Precision,Recall,F1-Score
1,0.9948530925561013,0.993957182320442,0.9959633239144224,0.9949592418699772
2,0.9932649039734125,0.9937103289094057,0.9930799838532957,0.9933950563871824
3,0.9952941176470588,0.9972793053545587,0.9934836514618534,0.9953778599491565
4,0.9958823529411764,0.9978581765557164,0.9940603194740788,0.9959556274555119
5,0.9928235294117647,0.9892399267399268,0.9967704728950404,0.9929909226703436
