Num_Datasets,Accuracy,Precision,Recall,F1
1,0.9834469328140214,0.9830508474576272,0.8854961832061069,0.9317269076305221
2,0.9883034229688664,0.9942970204841713,0.9821798114509083,0.9882012724117988
3,0.9923235201012979,0.9960693641618497,0.9890564016224076,0.9925504953536595
4,0.9954519249247326,0.9955233291298865,0.9955233291298865,0.9955233291298865
5,0.9940860558787802,0.9935386738598583,0.9948492462311558,0.9941935281378488
